Name,Primary,Promotions,Spam,Total Emails
SumOfUs,0.0976,0.9024,0.0,41
Change.org,0.0385,0.8462,0.1154,26
Democracy for America,0.0,0.6023,0.3977,88
CREDO Action,0.0,0.7273,0.2727,44
