Category,Primary,Promotions,Spam,Total Emails,STD Spam,STD Promotions,STD Primary
Advocacy organization or think tank,0.08847184986595175,0.46380697050938335,0.4477211796246649,1865,0.3404193601654777,0.35015803550933317,0.28048606165941237
House battleground campaign,0.0071174377224199285,0.49466192170818507,0.498220640569395,1124,0.3803903586845406,0.3768408260131021,0.178170177363704
House battleground official,0.44788273615635177,0.249185667752443,0.30293159609120524,614,0.31024807419932804,0.27501299693137976,0.3022880769534773
Presidential candidate,0.06401045068582625,0.6381450032658393,0.29784454604833444,1531,0.33509667342047,0.3660647083087594,0.17995238773787528
All emails,0.10634982469809116,0.49688352162056876,0.39676665368134006,5134,0.3368985734802217,0.3277922822306295,0.2800783083778459
